parallelSize,loopSize,dataSize,preloadSize,"('Hazelcast', 'getTestRowList')","('Hazelcast', 'putTestRowList')","('Infinispan', 'getTestRowList')","('Infinispan', 'putTestRowList')"
1,15,large,0,6340560.333333333,8490254.266666668,1090346.9333333333,4719030.066666666
1,15,large,50,4799249.133333334,6278136.333333333,542090.3333333334,2184284.3333333335
1,15,large,100,4021329.7333333334,5539246.6,455737.26666666666,2162357.6
1,15,large,200,3917025.6,5721216.0,436239.2,2081699.4666666666
1,15,large,400,3979164.8666666667,6210412.4,372351.6,1963678.4666666666
10,15,large,0,4958951.173333333,6434394.02,631632.6066666667,68290569.33333333
10,15,large,50,3592536.6,5911387.706666667,384294.46,2255307.9266666668
10,15,large,100,3471864.96,5672872.873333333,355310.87333333335,2156985.26
10,15,large,200,3439877.3866666667,5589713.966666667,356624.80666666664,3362629.0733333332
10,15,large,400,3353500.5,5646682.333333333,373240.6533333333,2247420.94
50,15,large,0,4933920.722666667,6496259.028,9515196.246666666,491363785.09066665
50,15,large,50,4506158.589333333,7393260.442666667,14566741.444,433558801.84933335
50,15,large,100,4207579.557333333,6501898.602666667,2846477.3666666667,274780297.1106667
50,15,large,200,3703779.337333333,6065497.794666667,13211086.897333333,734422385.928
50,15,large,400,3894293.556,6101953.706666667,6387068.617333333,165295104.75733334
100,15,large,0,7132921.488666667,12168415.383333333,23002823.020666666,1332766420.238
100,15,large,50,4844041.501333334,8760296.098666666,37476195.32,930413521.97
100,15,large,100,5343353.122666666,8039024.868,70633753.79133333,1142554031.4713333
100,15,large,200,6269493.678666667,7872687.686,31806111.345333334,781833826.392
100,15,large,400,4031660.3693333333,6808080.634,45550848.978,1632633511.0153334
150,15,large,0,9245346.38,15243245.073777778,109656619.14977778,1436677451.844889
150,15,large,50,6471086.064444444,11194710.935111111,68996003.26622222,2139839526.2906666
150,15,large,100,7539799.040888889,13475196.581333334,84552365.35422222,1471464644.4253333
150,15,large,200,9038367.909777777,16709805.818666667,82506708.15777777,1302193408.9555554
150,15,large,400,8255409.570222222,14604295.304,19425.81224489796,21329.488442211055
200,15,large,0,11162280.597333333,19559719.000666667,92192290.06466667,835318830.9693333
200,15,large,50,11356945.282,19960131.392333332,77687935.74033333,1659286063.979
200,15,large,100,10950693.42,17441075.986333333,114586052.25366667,1991090924.6883333
200,15,large,200,10777833.231666667,17861578.161333334,128581016.24,1782495986.0136666
200,15,large,400,8685465.790666666,13329085.217333334,,
